orgao,ano,qtd_pedidos_lai,tempo_medio_resposta_dias,percentual_sem_resposta,percentual_acesso_concedido,percentual_acesso_negado,percentual_acesso_parcial,qtd_recursos_lai,taxa_recurso_lai
DER - Departamento de Estradas de Rodagem,2024,438,7.38090167548501,28.08219178082192,69.63470319634703,13.013698630136986,1.141552511415525,36,0.0821917808219178
DETRAN - Departamento de Trânsito,2024,1202,9.028719096334186,34.94176372712147,45.92346089850249,28.95174708818636,2.246256239600666,82,0.06821963394342762
DFLEGAL - Secretaria de Estado de Proteção da Ordem Urbanística do Distrito Federal,2024,1698,5.468391336023313,12.426383981154299,52.179034157832746,19.67020023557126,2.237926972909305,103,0.06065959952885748
DPDF - Defensoria Pública do Distrito Federal,2024,233,7.767678464755078,20.171673819742487,27.467811158798284,3.862660944206009,1.2875536480686696,12,0.05150214592274678
EMATER - Empresa de Assistência Técnica e Extensão Rural,2024,72,9.687892512077296,4.166666666666666,91.66666666666666,1.3888888888888888,0.0,1,0.013888888888888888
FAP - Fundação de Apoio à Pesquisa,2024,41,8.179960317460317,14.634146341463413,51.21951219512195,4.878048780487805,2.4390243902439024,4,0.0975609756097561
FEPECS - Fundação de Ensino e Pesquisa em Ciência da Saúde,2024,75,6.402929292929293,26.666666666666668,46.666666666666664,4.0,6.666666666666667,8,0.10666666666666667
FHB - Fundação Hemocentro de Brasília,2024,93,7.596693615257048,27.956989247311824,75.26881720430107,11.827956989247312,3.225806451612903,4,0.043010752688172046
FJZB - Fundação Jardim Zoológico de Brasilia,2024,61,7.483713312368972,13.114754098360656,65.57377049180327,3.278688524590164,0.0,6,0.09836065573770492
FUNAP - Fundação de Amparo ao Trabalhador Preso,2024,120,2.229153182308522,14.166666666666666,28.333333333333332,3.3333333333333335,2.5,1,0.008333333333333333
IBRAM - Instituto do Meio Ambiente e Recursos Hídricos do Distrito Federal - Brasília Ambiental,2024,488,13.774998086929905,25.614754098360653,61.065573770491795,8.60655737704918,3.278688524590164,17,0.03483606557377049
INAS - Instituto de Assistência à Saúde dos Servidores do DF,2024,120,7.024269005847953,5.0,15.0,13.333333333333334,5.833333333333333,3,0.025
IPEDF - Instituto de Pesquisa e Estatística do Distrito Federal - Codeplan,2024,100,4.293719806763285,8.0,74.0,1.0,1.0,1,0.01
IPREV/DF - Instituto de Previdência dos Servidores,2024,112,9.574805555555555,33.035714285714285,50.89285714285714,20.535714285714285,1.7857142857142856,3,0.026785714285714284
JBB - Jardim Botânico de Brasília,2024,35,4.55959595959596,5.714285714285714,54.285714285714285,0.0,14.285714285714285,0,0.0
"JUCIS-DF - Junta Comercial, Industrial e Serviços do Distrito Federal",2024,131,7.278107040229885,11.450381679389313,42.74809160305343,13.740458015267176,10.687022900763358,0,0.0
METRÔ - Companhia do Metropolitano do Distrito Federal,2024,160,19.424714381720428,22.5,70.0,4.375,9.375,5,0.03125
NOVACAP - Companhia Urbanizadora da Nova Capital do Brasil,2024,657,10.877857078122167,6.69710806697108,65.44901065449011,0.60882800608828,1.36986301369863,29,0.0441400304414003
PCDF - Polícia Civil do Distrito Federal,2024,665,11.564245065265839,47.51879699248121,95.18796992481204,1.3533834586466165,0.30075187969924816,41,0.061654135338345864
PGDF - Procuradoria Geral do Distrito Federal,2024,350,5.758644203770557,20.857142857142858,39.714285714285715,16.0,10.285714285714285,10,0.02857142857142857
PMDF - Polícia Militar do Distrito Federal,2024,441,10.8546609879584,7.936507936507936,54.421768707483,15.873015873015872,9.977324263038549,29,0.06575963718820861
PROCON/DF - Instituto de Defesa do Consumidor do Distrito Federal,2024,317,4.290350481347773,12.618296529968454,38.170347003154575,8.201892744479496,0.9463722397476341,9,0.028391167192429023
SEAC - Secretaria de Atendimento à Comunidade,2024,93,6.1006327160493825,3.225806451612903,21.50537634408602,4.301075268817205,3.225806451612903,1,0.010752688172043012
"SEAGRI - Secretaria de Estado da Agricultura, Abastecimento e Desenvolvimento Rural do Distrito Federal",2024,258,4.3961844569288395,31.007751937984494,61.627906976744185,9.30232558139535,3.10077519379845,10,0.03875968992248062
SEAPE - Secretaria de Estado de Administração Penitenciária,2024,162,11.573987941429802,20.37037037037037,54.32098765432099,8.024691358024691,7.4074074074074066,12,0.07407407407407407
SECEC - Secretaria de Estado de Cultura e Econ. Criativa do DF,2024,239,11.841252608242044,10.87866108786611,79.49790794979079,6.2761506276150625,5.02092050209205,16,0.06694560669456066
SECOM - Secretaria de Estado de Comunicação do Distrito Federal,2024,71,3.8553205128205126,8.450704225352112,54.929577464788736,14.084507042253522,4.225352112676056,3,0.04225352112676056
"SECTI - Secretaria de Estado de Ciência, Tecnologia e Inovação do Distrito Federal",2024,71,9.043272569444444,9.859154929577464,90.14084507042254,0.0,4.225352112676056,1,0.014084507042253521
SEDES - Secretaria de Estado de Desenvolvimento Social do Distrito Federal,2024,437,9.205711028192372,8.009153318077804,39.359267734553775,3.203661327231121,3.203661327231121,22,0.05034324942791762
"SEDET - Secretaria de Estado de Desenvolvimento Econômico, Trabalho e Renda do Distrito Federal",2024,136,6.58425160697888,11.029411764705882,43.38235294117647,2.941176470588235,1.4705882352941175,2,0.014705882352941176
SEDUH - Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,2024,454,3.4072079687085655,7.709251101321586,53.524229074889874,7.048458149779736,3.303964757709251,26,0.05726872246696035
SEE - Secretaria de Estado de Educação do Distrito Federal,2024,1184,9.293103186436934,15.033783783783782,70.52364864864865,5.152027027027027,0.5067567567567568,100,0.08445945945945946
