ano,regiao_administrativa,ano_referencia_pdad,populacao_total,populacao_masculina,populacao_feminina,populacao_0_14,populacao_15_59,populacao_60_mais,renda_media_ponderada,idade_media_ponderada,media_moradores_por_domicilio,percentual_baixa_escolaridade,percentual_domicilios_com_internet,percentual_domicilios_proprios,percentual_domicilios_alugados,lai_df_qtd_pedidos_ano,lai_df_qtd_recursos_ano,lai_df_qtd_satisfacoes_ano,lai_df_percentual_pedidos_com_recurso,lai_df_tempo_medio_resposta_dias,lai_df_percentual_acesso_concedido,lai_df_percentual_acesso_negado,lai_df_percentual_acesso_parcial,lai_df_percentual_sem_resposta,lai_df_qtd_orgaos_demandados
2023,Planaltina,2024,210578.0,102696.0,107882.00000000001,43646.00000000001,144338.0,22594.0,455.79261884749667,33.52580899531044,2.9460043196544285,35.0054332958259,93.08855291576674,65.4427645788337,26.565874730021598,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Planaltina,2024,214752.99999999997,104699.99999999999,110052.99999999999,43988.99999999997,146732.0,24032.0,455.79261884749667,33.52580899531044,2.9460043196544285,35.0054332958259,93.08855291576674,65.4427645788337,26.565874730021598,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Planaltina,2024,218569.0,106531.0,112038.0,44351.99999999999,148733.0,25484.0,455.79261884749667,33.52580899531044,2.9460043196544285,35.0054332958259,93.08855291576674,65.4427645788337,26.565874730021598,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Plano Piloto,2024,242808.0,113741.99999999999,129066.0,30348.99999999999,164681.0,47778.0,3564.439156624689,40.497471189780256,2.3756441186429487,17.279991430448717,99.04268530009618,58.35135615057508,28.847157309142354,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Plano Piloto,2024,245902.0,115405.99999999999,130496.00000000001,30439.999999999993,165964.0,49498.0,3564.439156624689,40.497471189780256,2.3756441186429487,17.279991430448717,99.04268530009618,58.35135615057508,28.847157309142354,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Plano Piloto,2024,248568.0,116869.00000000003,131699.0,30555.00000000001,166760.0,51253.0,3564.439156624689,40.497471189780256,2.3756441186429487,17.279991430448717,99.04268530009618,58.35135615057508,28.847157309142354,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Recanto das Emas,2024,142331.0,68645.0,73686.0,28939.000000000007,99291.99999999999,14100.0,439.2301919175193,32.01871878689271,2.993362831858407,37.37572539605952,88.05309734513276,62.61061946902656,29.424778761061955,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Recanto das Emas,2024,145518.0,70142.00000000001,75376.0,29197.000000000007,100957.0,15364.0,439.2301919175193,32.01871878689271,2.993362831858407,37.37572539605952,88.05309734513276,62.61061946902656,29.424778761061955,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Recanto das Emas,2024,148474.0,71534.0,76940.0,29475.0,102364.0,16635.0,439.2301919175193,32.01871878689271,2.993362831858407,37.37572539605952,88.05309734513276,62.61061946902656,29.424778761061955,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Riacho Fundo,2024,45489.0,21597.0,23892.0,7740.999999999997,32551.0,5197.0,930.127770972159,34.307798050913235,2.626168224299066,27.76991960028233,98.44236760124609,49.53271028037383,44.08099688473519,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Riacho Fundo,2024,45998.0,21843.0,24155.0,7656.000000000001,32903.0,5439.0,930.127770972159,34.307798050913235,2.626168224299066,27.76991960028233,98.44236760124609,49.53271028037383,44.08099688473519,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Riacho Fundo,2024,46398.0,22041.0,24357.0,7561.999999999998,33152.0,5684.0,930.127770972159,34.307798050913235,2.626168224299066,27.76991960028233,98.44236760124609,49.53271028037383,44.08099688473519,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Riacho Fundo II,2024,75307.0,36983.0,38324.0,13709.0,56631.0,4967.0,435.904014111772,32.17270366630699,3.0274314214463836,31.628893943697715,96.25935162094764,67.58104738154613,28.428927680798004,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Riacho Fundo II,2024,75927.0,37282.0,38645.0,13795.0,56789.0,5343.0,435.904014111772,32.17270366630699,3.0274314214463836,31.628893943697715,96.25935162094764,67.58104738154613,28.428927680798004,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Riacho Fundo II,2024,76384.0,37506.0,38878.0,13871.0,56792.0,5721.0,435.904014111772,32.17270366630699,3.0274314214463836,31.628893943697715,96.25935162094764,67.58104738154613,28.428927680798004,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,SCIA,2024,38724.0,19578.0,19146.0,9955.0,26599.0,2170.0,247.7362926666577,27.587493765114594,3.0248561140641588,44.2640912308906,81.89260549724916,75.29124360579902,18.40930962069762,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,SCIA,2024,39342.0,19871.0,19471.0,9960.000000000002,27050.0,2332.0,247.7362926666577,27.587493765114594,3.0248561140641588,44.2640912308906,81.89260549724916,75.29124360579902,18.40930962069762,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,SCIA,2024,39890.0,20131.0,19759.0,9969.0,27425.0,2496.0,247.7362926666577,27.587493765114594,3.0248561140641588,44.2640912308906,81.89260549724916,75.29124360579902,18.40930962069762,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
